!4RC4N01D!|Логика|12 января 2018|
!4RC4N01D! 2: Retro Edition|Аркада|6 февраля 2018|
!Slider Quest|Приключение|27 сентября 2016|
#Archery|Спорт | Симулятор|19 декабря 2017|
#KILLALLZOMBIES|Аркада|29 апреля 2016|
#SelfieTennis|Теннис|1 апреля 2016|
#WarGames|Приключение|14 марта 2018|
$1 Ride|Аркада|28 июля 2016|
&#198;rena - Clash of Champions|Стратегия | Стратегия в реальном времени|18 октября 2013|
'n Verlore Verstand|Приключение|1 февраля 2016|
.kkrieger|Боевик | Боевик от первого лица|10 апреля 2004|
0 Day|Приключение|16 ноября 2016|
007 Legends|Боевик | Боевик от первого лица|16 октября 2012|4,0|6,1|
007: Licence to Kill|Аркада|20 апреля 1989|
0rbitalis|Логика | Космос|28 мая 2015|
0x10c|Ролевая игра | Космос | Стратегия|январь 2012|
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)|Аркада|2 апреля 2011|
10 Min Space Strategy|Пошаговая стратегия|7 июня 2011|
10 Minute Tower|Логика|26 июля 2016|
10 Second Ninja|Аркада|5 марта 2014|
100% Orange Juice|Стратегия|10 сентября 2013|
1000 Amps|Аркада | Платформер|22 февраля 2012|
100ft Robot Golf|Аркада|16 апреля 2017|
100ft Robot Golf|Спорт | Гольф|16 марта 2017|
100nya|Логика|14 ноября 2016|
101 Bunny Pets|Аркада|6 июня 2008|
101 Dolphin Pets|Аркада|26 мая 2009|
101 Shark Pets|Аркада|26 мая 2009|
101 Ways to Die|Приключение|18 марта 2016|
1010|Логика|13 декабря 2017|
101: The Airborne Invasion of Normandy|Стратегия | Пошаговая стратегия|декабрь 1998|
11 Eyes: CrossOver|Приключение|25 апреля 2008|
12 better than 6|Аркада|20 ноября 2015|
12 is Better Than 6|Боевик|20 ноября 2015|
12 Labours of Hercules|Стратегия|23 марта 2015|
12 orbits|Логика|21 октября 2016|
12 стульев: как это было на самом деле|Приключение|3 октября 2003|6<span class="rate_s">,0|
123 Slaughter Me Street|Боевик | Боевик от первого лица | Ужасы|28 сентября 2015|
140|Аркада | Платформер|16 октября 2013|9<span class="rate_s">,0|
15 Days|Приключение|20 ноября 2009|8<span class="rate_s">,6|
15 Defense|Логика|1 апреля 2017|
15,000 Sudoku Puzzles|Логика|весь 2005 год|
16 Bit Arena|MMOG | Ролевая игра | Карточная игра|24 марта 2015|
16 Bit Arena|Аркада|24 марта 2015|
1602 A.D.||Дата выхода неизвестна|
16bit Trader|Приключение|4 июня 2015|
18 Wheels of Steel: Across America|Симулятор | Автомобили|15 сентября 2003|6<span class="rate_s">,6|
18 Wheels of Steel: American Long Haul|Симулятор | Автомобили|3 декабря 2007|7<span class="rate_s">,1|
18 Wheels of Steel: Big City Rigs|Симулятор | Автомобили|1 апреля 2010|
18 Wheels of Steel: Convoy|Симулятор | Автомобили|1 сентября 2005|6<span class="rate_s">,5|
18 Wheels of Steel: Extreme Trucker|Симулятор | Автомобили|2 октября 2009|6<span class="rate_s">,9|
18 Wheels of Steel: Extreme Trucker 2|Симулятор | Автомобили|6 января 2011|7<span class="rate_s">,3|
18 Wheels of Steel: Haulin’|Симулятор | Автомобили|8 декабря 2006|
18 Wheels of Steel: Pedal to the Metal|Симулятор | Автомобили|30 августа 2004|7<span class="rate_s">,2|
1849|Экономическая стратегия | Стратегия | Стратегия в реальном времени|8 мая 2014|
1914: The Great War|Пошаговая стратегия|август 2002|6<span class="rate_s">,0|
1944: Battle of the Bulge|Стратегия|апрель 2005|
1953: KGB Unleashed|Приключение|7 июля 2012|8<span class="rate_s">,6|
1954: Alcatraz|Приключение|11 марта 2014|8<span class="rate_s">,1|
1979 Invasion Earth|Аркада|19 января 2017|
1979 Revolution: Black Friday|Боевик | Боевик от третьего лица|ноябрь 2015|
1993 Space Machine|Аркада|28 марта 2016|
199X|Аркада|11 декабря 2014|
1st Go Warkanoid 2: WildLife|Аркада|весь 2001 год|
1st Go Warkanoid 3: Story-book|Аркада|весь 2001 год|
2 Fast 4 You|Аркада | Автомобили|весь 1995 год|
2 Ninjas 1 Cup|Аркада | Платформер|4 февраля 2017|
2 Planets Fire and Ice|Логика|4 августа 2017|
20,000 Leagues Under the Sea|Приключение|15 марта 2010|7<span class="rate_s">,3|
2025: Battle for Fatherland|Боевик | Боевик от третьего лица|21 апреля 2010|9<span class="rate_s">,5|
2029 Online|MMOG | Ролевая игра|июнь 2009|
20something|Логика|26 января 2017|
20XX|Платформер | Аркада | Боевик|16 августа 2017|
21 Days|Аркада | Приключение|16 июня 2017|
21 Steps to Soul|Аркада | Платформер|24 октября 2016|
2112|MMOG | Стратегия | Стратегия в реальном времени|21 декабря 2012|
222 Hearts|Аркада | Платформер|20 октября 2017|
24 HOURS|Приключение|13 сентября 2016|
25 To Life|Боевик | Боевик от третьего лица|17 января 2006|6<span class="rate_s">,1|
28 Waves Later|Аркада|31 марта 2016|
29|Приключение|начало 2018 года|
2D 3D Puzzle: Say I Do||Дата выхода неизвестна|
2D 3D Puzzle: War Craft No1||Дата выхода неизвестна|
2D Dwarf Digger|Аркада|весь 2002 год|
2D Mahjong Temple|Логика|18 августа 2017|
2D Neon Cube|Аркада | Платформер|8 сентября 2017|
2Dark|Боевик | Приключение | Ужасы|10 марта 2017|8<span class="rate_s">,0|
2Moons|MMOG | Ролевая игра|30 июля 2007|
2URVIVE|Аркада|23 августа 2017|
2x Wild Stars Slots|Аркада|весь 2001 год|
2XL Supercross HD|Мототехника | Симулятор|14 апреля 2009|
3 Cards to Dead Time|Приключение|5 января 2010|
3 Cards to Midnight|Приключение|7 мая 2009|
3-D Ultra NASCAR Pinball|Аркада | Пинбол|ноябрь 1998|
3-D Ultra Pinball|Аркада | Пинбол|весь 1995 год|
3-D Ultra Pinball: Creep Night|Аркада | Пинбол|весь 1996 год|
3-D Ultra Pinball: The Lost Continent|Аркада | Пинбол|весь 1997 год|
3-D Ultra Pinball: Thrillride|Аркада | Пинбол|весь 2000 год|
3..2..1..Grenades!|Аркада|21 июня 2017|
3030 Deathwar Redux|Ролевая игра|28 апреля 2016|
30th Century Post Office|Симулятор|27 апреля 2017|
33 квадратных метра: Война с соседями|Аркада | Логика|21 августа 2007|
35MM|Приключение|27 мая 2016|4,0|7,2|
36 Fragments of Midnight|Аркада | Платформер|7 августа 2017|
365 Days|Боевик | Боевик от первого лица | Приключение|4 февраля 2017|
3D Arcade Fishing|Рыбалка|20 декабря 2016|
3D Blitz||Дата выхода неизвестна|
3D Blitz 3.0||Дата выхода неизвестна|
3d Bridges|Симулятор|24 марта 2015|
